iter,loss,loss_f,loss_b
1,1.0505836009979248,9.188249532599002e-05,1.0504916906356812
2,1.0494952201843262,9.106301877181977e-05,1.0494041442871094
3,1.0484237670898438,9.026048064697534e-05,1.0483335256576538
4,1.047369360923767,8.948807953856885e-05,1.0472798347473145
5,1.0463320016860962,8.874402556102723e-05,1.0462433099746704
6,1.0453120470046997,8.802569209365174e-05,1.0452240705490112
7,1.0443094968795776,8.73329263413325e-05,1.044222116470337
8,1.0433242321014404,8.666617213748395e-05,1.043237566947937
9,1.0423567295074463,8.602555317338556e-05,1.0422706604003906
10,1.0414066314697266,8.541084389435127e-05,1.0413212776184082
11,1.0404744148254395,8.482096018269658e-05,1.0403895378112793
12,1.0395593643188477,8.425401756539941e-05,1.0394750833511353
13,1.0386617183685303,8.370754949282855e-05,1.0385780334472656
14,1.0377815961837769,8.317890024045482e-05,1.0376983880996704
15,1.03691828250885,8.266550139524043e-05,1.0368356704711914
16,1.0360721349716187,8.216495916713029e-05,1.0359899997711182
17,1.0352425575256348,8.167512714862823e-05,1.0351608991622925
18,1.0344293117523193,8.119417179841548e-05,1.0343481302261353
19,1.0336321592330933,8.072060882113874e-05,1.0335514545440674
20,1.0328508615493774,8.02532013040036e-05,1.0327706336975098
21,1.0320850610733032,7.979095971677452e-05,1.0320053100585938
22,1.031334400177002,7.933331653475761e-05,1.0312551259994507
23,1.030598759651184,7.887982064858079e-05,1.0305198431015015
24,1.0298773050308228,7.843037019483745e-05,1.0297988653182983
25,1.0291701555252075,7.79849651735276e-05,1.0290921926498413
26,1.0284767150878906,7.754388207104057e-05,1.0283992290496826
27,1.027796983718872,7.710752834100276e-05,1.0277198553085327
28,1.0271302461624146,7.667635509278625e-05,1.0270535945892334
29,1.0264766216278076,7.625097350683063e-05,1.0264003276824951
30,1.025835394859314,7.583195110782981e-05,1.0257595777511597
31,1.0252066850662231,7.541992090409622e-05,1.0251312255859375
32,1.024590015411377,7.501542859245092e-05,1.0245150327682495
33,1.023985505104065,7.461904897354543e-05,1.0239108800888062
34,1.0233927965164185,7.4231211328879e-05,1.0233185291290283
35,1.0228115320205688,7.385223580058664e-05,1.0227376222610474
36,1.0222415924072266,7.348226790782064e-05,1.0221681594848633
37,1.0216830968856812,7.312132220249623e-05,1.0216100215911865
38,1.0211355686187744,7.276920950971544e-05,1.0210628509521484
39,1.0205990076065063,7.242559513542801e-05,1.0205265283584595
40,1.020073413848877,7.208996976260096e-05,1.0200012922286987
41,1.0195585489273071,7.176171493483707e-05,1.0194867849349976
42,1.0190541744232178,7.14401830919087e-05,1.0189827680587769
43,1.0185602903366089,7.11246466380544e-05,1.018489122390747
44,1.0180765390396118,7.081433432176709e-05,1.0180057287216187
45,1.0176031589508057,7.050848944345489e-05,1.0175327062606812
46,1.0171399116516113,7.020640623522922e-05,1.017069697380066
47,1.0166863203048706,6.990732799749821e-05,1.0166164636611938
48,1.0162427425384521,6.961059989407659e-05,1.0161731243133545
49,1.0158085823059082,6.931554526090622e-05,1.0157393217086792
50,1.0153840780258179,6.902152381371707e-05,1.015315055847168
51,1.014968991279602,6.872798257973045e-05,1.0149002075195312
52,1.0145630836486816,6.843436858616769e-05,1.0144946575164795
53,1.0141661167144775,6.814018706791103e-05,1.0140979290008545
54,1.0137780904769897,6.784495781175792e-05,1.0137102603912354
55,1.0133987665176392,6.754832429578528e-05,1.0133311748504639
56,1.0130281448364258,6.724995182594284e-05,1.0129609107971191
57,1.0126659870147705,6.694953481201082e-05,1.012598991394043
58,1.0123119354248047,6.664682587143034e-05,1.0122452974319458
59,1.0119662284851074,6.634165765717626e-05,1.0118998289108276
60,1.0116283893585205,6.60338846500963e-05,1.0115623474121094
61,1.0112982988357544,6.572343409061432e-05,1.011232614517212
62,1.0109761953353882,6.541024777106941e-05,1.0109107494354248
63,1.0106613636016846,6.509435479529202e-05,1.0105962753295898
64,1.0103541612625122,6.477576243923977e-05,1.0102894306182861
65,1.010054111480713,6.445462349802256e-05,1.009989619255066
66,1.0097613334655762,6.413101800717413e-05,1.0096971988677979
67,1.0094752311706543,6.380510603776202e-05,1.0094114542007446
68,1.0091962814331055,6.347704766085371e-05,1.0091328620910645
69,1.008924126625061,6.314707570709288e-05,1.0088609457015991
70,1.0086584091186523,6.281537935137749e-05,1.008595585823059
71,1.0083993673324585,6.248222780413926e-05,1.0083369016647339
72,1.0081465244293213,6.2147832068149e-05,1.0080844163894653
73,1.0078999996185303,6.181244680192322e-05,1.0078381299972534
74,1.007659673690796,6.14763266639784e-05,1.0075981616973877
75,1.007425308227539,6.113972631283104e-05,1.0073641538619995
76,1.0071966648101807,6.0802896769018844e-05,1.0071358680725098
77,1.0069741010665894,6.04660963290371e-05,1.006913661956787
78,1.0067570209503174,6.0129561461508274e-05,1.0066969394683838
79,1.0065457820892334,5.979349953122437e-05,1.006485939025879
80,1.0063397884368896,5.94581724726595e-05,1.0062803030014038
81,1.0061391592025757,5.912378037464805e-05,1.0060800313949585
82,1.005943775177002,5.879052332602441e-05,1.0058850049972534
83,1.0057536363601685,5.8458605053601786e-05,1.0056952238082886
84,1.005568504333496,5.812817107653245e-05,1.0055103302001953
85,1.0053881406784058,5.7799421483650804e-05,1.0053303241729736
86,1.0052129030227661,5.747247996623628e-05,1.0051554441452026
87,1.005042314529419,5.714748476748355e-05,1.0049852132797241
88,1.0048764944076538,5.682457413058728e-05,1.004819631576538
89,1.0047149658203125,5.650382809108123e-05,1.0046584606170654
90,1.0045579671859741,5.618537397822365e-05,1.0045018196105957
91,1.0044054985046387,5.586927727563307e-05,1.0043495893478394
92,1.0042572021484375,5.5555618018843234e-05,1.0042016506195068
93,1.004112958908081,5.524443986359984e-05,1.004057765007019
94,1.0039730072021484,5.493585194926709e-05,1.0039180517196655
95,1.0038368701934814,5.4629861551802605e-05,1.0037822723388672
96,1.0037047863006592,5.432650141301565e-05,1.003650426864624
97,1.0035765171051025,5.402580791269429e-05,1.003522515296936
98,1.003451943397522,5.372779560275376e-05,1.0033981800079346
99,1.003330945968628,5.343249358702451e-05,1.0032775402069092
100,1.00321364402771,5.313989822752774e-05,1.0031604766845703
101,1.003099799156189,5.285003499011509e-05,1.003046989440918
102,1.002989411354065,5.2562885684892535e-05,1.002936840057373
103,1.002882480621338,5.227845031186007e-05,1.002830147743225
104,1.0027786493301392,5.1996728871017694e-05,1.002726674079895
105,1.0026779174804688,5.17177177243866e-05,1.0026261806488037
106,1.0025805234909058,5.144139504409395e-05,1.0025290250778198
107,1.0024858713150024,5.116775355418213e-05,1.0024347305297852
108,1.002394437789917,5.08967787027359e-05,1.0023435354232788
109,1.0023057460784912,5.062845957581885e-05,1.0022550821304321
110,1.002219796180725,5.036277070757933e-05,1.0021694898605347
111,1.0021368265151978,5.009968299418688e-05,1.0020867586135864
112,1.0020564794540405,4.98391964356415e-05,1.0020066499710083
113,1.0019786357879639,4.958128556609154e-05,1.0019290447235107
114,1.0019034147262573,4.9325928557664156e-05,1.0018540620803833
115,1.0018305778503418,4.907310358248651e-05,1.0017814636230469
116,1.0017603635787964,4.8822781536728144e-05,1.0017114877700806
117,1.0016920566558838,4.857495514443144e-05,1.0016435384750366
118,1.0016264915466309,4.8329573473893106e-05,1.0015782117843628
119,1.0015629529953003,4.808664016309194e-05,1.0015149116516113
120,1.0015016794204712,4.784612247021869e-05,1.0014538764953613
121,1.001442313194275,4.760797673952766e-05,1.0013947486877441
122,1.0013850927352905,4.7372173867188394e-05,1.0013377666473389
123,1.001330018043518,4.713872476713732e-05,1.0012829303741455
124,1.0012767314910889,4.690755304181948e-05,1.0012298822402954
125,1.001225471496582,4.667865869123489e-05,1.0011787414550781
126,1.001175880432129,4.6451998059637845e-05,1.001129388809204
127,1.001128077507019,4.6227534767240286e-05,1.0010818243026733
128,1.001081943511963,4.6005239710211754e-05,1.0010359287261963
129,1.0010374784469604,4.578505831887014e-05,1.000991702079773
130,1.0009946823120117,4.5566972403321415e-05,1.0009491443634033
131,1.0009534358978271,4.535094922175631e-05,1.0009081363677979
132,1.0009138584136963,4.513693420449272e-05,1.0008686780929565
133,1.000875473022461,4.492489097174257e-05,1.0008305311203003
134,1.0008387565612793,4.47147867816966e-05,1.0007940530776978
135,1.0008032321929932,4.4506570702651516e-05,1.0007587671279907
136,1.0007692575454712,4.430020271684043e-05,1.0007249116897583
137,1.0007363557815552,4.40956573584117e-05,1.0006922483444214
138,1.0007048845291138,4.3892865505767986e-05,1.000661015510559
139,1.0006744861602783,4.3691798055078834e-05,1.0006307363510132
140,1.0006452798843384,4.349240043666214e-05,1.0006017684936523
141,1.0006171464920044,4.329462899477221e-05,1.0005738735198975
142,1.0005903244018555,4.3098443711642176e-05,1.000547170639038
143,1.0005643367767334,4.290380820748396e-05,1.0005214214324951
144,1.0005394220352173,4.271065699867904e-05,1.000496745109558
145,1.0005155801773071,4.251895006746054e-05,1.0004730224609375
146,1.0004925727844238,4.2328654672019184e-05,1.0004502534866333
147,1.000470519065857,4.2139716242672876e-05,1.0004284381866455
148,1.000449299812317,4.1952094761654735e-05,1.000407338142395
149,1.0004291534423828,4.1765735659282655e-05,1.00038743019104
150,1.000409722328186,4.1580613469704986e-05,1.0003681182861328
151,1.000390887260437,4.139666634728201e-05,1.000349521636963
152,1.0003730058670044,4.121385427424684e-05,1.0003317594528198
153,1.0003557205200195,4.103215178474784e-05,1.000314712524414
154,1.000339150428772,4.085150430910289e-05,1.000298261642456
155,1.0003234148025513,4.067187546752393e-05,1.0002827644348145
156,1.0003082752227783,4.049321432830766e-05,1.000267744064331
157,1.0002936124801636,4.031549542560242e-05,1.0002533197402954
158,1.0002796649932861,4.013867146568373e-05,1.0002394914627075
159,1.0002663135528564,3.9962709706742316e-05,1.000226378440857
160,1.000253438949585,3.978757013101131e-05,1.000213623046875
161,1.0002410411834717,3.9613223634660244e-05,1.0002014636993408
162,1.0002293586730957,3.943962656194344e-05,1.0001899003982544
163,1.0002179145812988,3.9266735257115215e-05,1.0001786947250366
164,1.0002070665359497,3.909453880623914e-05,1.000167965888977
165,1.0001968145370483,3.892298263963312e-05,1.0001578330993652
166,1.000186800956726,3.875204856740311e-05,1.000148057937622
167,1.0001773834228516,3.858169657178223e-05,1.000138759613037
168,1.000167965888977,3.841189754894003e-05,1.0001295804977417
169,1.0001593828201294,3.8242611481109634e-05,1.0001211166381836
170,1.0001507997512817,3.8073827454354614e-05,1.000112771987915
171,1.0001428127288818,3.790549453697167e-05,1.0001049041748047
172,1.000135064125061,3.77376054530032e-05,1.0000972747802734
173,1.0001275539398193,3.757013473659754e-05,1.0000900030136108
174,1.0001205205917358,3.7403042369987816e-05,1.000083088874817
175,1.000113606452942,3.7236321077216417e-05,1.000076413154602
176,1.0001070499420166,3.7069927202537656e-05,1.0000699758529663
177,1.00010085105896,3.6903857107972726e-05,1.0000638961791992
178,1.0000946521759033,3.673808532766998e-05,1.0000579357147217
179,1.0000886917114258,3.6572568205883726e-05,1.0000520944595337
180,1.000083088874817,3.64073202945292e-05,1.000046730041504
181,1.0000778436660767,3.624229793786071e-05,1.0000416040420532
182,1.000072717666626,3.607749385992065e-05,1.000036597251892
183,1.0000675916671753,3.5912893508793786e-05,1.0000317096710205
184,1.0000628232955933,3.574846778064966e-05,1.000027060508728
185,1.0000580549240112,3.558420576155186e-05,1.0000224113464355
186,1.0000536441802979,3.542011108947918e-05,1.0000182390213013
187,1.000049352645874,3.525615466060117e-05,1.000014066696167
188,1.0000451803207397,3.5092329198960215e-05,1.0000101327896118
189,1.0000412464141846,3.492861651466228e-05,1.0000063180923462
190,1.000037431716919,3.476502388366498e-05,1.0000026226043701
191,1.0000336170196533,3.460152220213786e-05,0.9999990463256836
192,1.0000300407409668,3.4438118746038526e-05,0.9999955892562866
193,1.0000264644622803,3.427479896345176e-05,0.9999921917915344
194,1.0000232458114624,3.411155557841994e-05,0.9999890923500061
195,1.0000197887420654,3.3948381314985454e-05,0.9999858736991882
196,1.000016689300537,3.378528344910592e-05,0.9999829530715942
197,1.0000135898590088,3.36222474288661e-05,0.9999799728393555
198,1.0000107288360596,3.3459276892244816e-05,0.9999772310256958
