iter,mse,mse_f,mse_b
1,10.845378875732422,9.188249532599002e-05,10.845287322998047
2,10.8414888381958,9.290262823924422e-05,10.84139633178711
3,10.837654113769531,9.401435090694577e-05,10.837559700012207
4,10.833873748779297,9.521700849290937e-05,10.833778381347656
5,10.83014965057373,9.650710126152262e-05,10.830053329467773
6,10.826481819152832,9.78842144832015e-05,10.826383590698242
7,10.822871208190918,9.934985428117216e-05,10.822772026062012
8,10.819316864013672,0.00010090414434671402,10.819215774536133
9,10.815818786621094,0.0001025457022478804,10.815715789794922
10,10.812378883361816,0.0001042720177792944,10.812274932861328
11,10.808996200561523,0.00010608059528749436,10.808890342712402
12,10.805669784545898,0.00010796921560540795,10.805562019348145
13,10.802401542663574,0.00010993597243214026,10.802291870117188
14,10.799189567565918,0.00011197919229744002,10.799077987670898
15,10.796034812927246,0.00011409740545786917,10.795920372009277
16,10.792935371398926,0.0001162896805908531,10.792819023132324
17,10.78989028930664,0.00011855562479468063,10.789772033691406
18,10.786904335021973,0.00012089501251466572,10.786783218383789
19,10.783967971801758,0.00012330741446930915,10.783844947814941
20,10.781088829040527,0.0001257922558579594,10.780962944030762
21,10.7782621383667,0.00012834886729251593,10.778133392333984
22,10.77548885345459,0.0001309765939367935,10.775358200073242
23,10.77276611328125,0.00013367473729886115,10.772632598876953
24,10.770096778869629,0.00013644283171743155,10.769960403442383
25,10.767475128173828,0.00013928064436186105,10.767335891723633
26,10.76490306854248,0.00014218807336874306,10.764760971069336
27,10.762381553649902,0.00014516526425722986,10.762236595153809
28,10.759906768798828,0.000148212697240524,10.759758949279785
29,10.757479667663574,0.00015133102715481073,10.757328033447266
30,10.755096435546875,0.00015452122897841036,10.754941940307617
31,10.752758979797363,0.000157784583279863,10.752601623535156
32,10.750467300415039,0.00016112253069877625,10.750306129455566
33,10.74821949005127,0.00016453705029562116,10.748054504394531
34,10.746010780334473,0.00016803025209810585,10.745842933654785
35,10.743844985961914,0.0001716047408990562,10.743673324584961
36,10.741721153259277,0.0001752633397700265,10.741545677185059
37,10.73963737487793,0.00017900922102853656,10.739458084106445
38,10.737592697143555,0.00018284571706317365,10.737409591674805
39,10.735586166381836,0.00018677626212593168,10.73539924621582
40,10.733617782592773,0.0001908044796437025,10.733427047729492
41,10.731685638427734,0.000194933993043378,10.731491088867188
42,10.729792594909668,0.0001991684694075957,10.729593276977539
43,10.727932929992676,0.0002035116049228236,10.727729797363281
44,10.726110458374023,0.00020796703756786883,10.725902557373047
45,10.724322319030762,0.00021253840532153845,10.724109649658203
46,10.722569465637207,0.00021722937526647002,10.722352027893066
47,10.72084903717041,0.0002220434253104031,10.720626831054688
48,10.719161987304688,0.00022698420798406005,10.718935012817383
49,10.717507362365723,0.00023205509933177382,10.717275619506836
50,10.715886116027832,0.0002372597809880972,10.715648651123047
51,10.714295387268066,0.00024260141071863472,10.7140531539917
52,10.712736129760742,0.00024808355374261737,10.712488174438477
53,10.71120834350586,0.00025370935327373445,10.710954666137695
54,10.709711074829102,0.0002594820980448276,10.709451675415039
55,10.70824146270752,0.000265404989477247,10.707976341247559
56,10.706803321838379,0.00027148108347319067,10.706531524658203
57,10.70539379119873,0.0002777135814540088,10.705116271972656
58,10.704011917114258,0.00028410524828359485,10.703727722167969
59,10.702658653259277,0.0002906591980718076,10.702367782592773
60,10.701332092285156,0.0002973781665787101,10.701034545898438
61,10.700033187866211,0.00030426509329117835,10.699728965759277
62,10.698760986328125,0.00031132256845012307,10.698450088500977
63,10.697515487670898,0.0003185532696079463,10.697196960449219
64,10.696295738220215,0.0003259598452132195,10.695969581604004
65,10.69510269165039,0.00033354488550685346,10.694768905639648
66,10.693931579589844,0.00034131077700294554,10.69359016418457
67,10.692787170410156,0.0003492599935270846,10.692438125610352
68,10.691666603088379,0.0003573948342818767,10.691308975219727
69,10.690568923950195,0.0003657176566775888,10.690203666687012
70,10.689495086669922,0.0003742306726053357,10.68912124633789
71,10.688446044921875,0.0003829360648524016,10.68806266784668
72,10.687417030334473,0.00039183604530990124,10.68702507019043
73,10.686408996582031,0.00040093259303830564,10.68600845336914
74,10.685425758361816,0.0004102278035134077,10.685015678405762
75,10.684462547302246,0.0004197236557956785,10.684042930603027
76,10.683520317077637,0.0004294220416340977,10.683091163635254
77,10.682599067687988,0.00043932488188147545,10.682159423828125
78,10.681695938110352,0.000449434039182961,10.681246757507324
79,10.680814743041992,0.0004597513470798731,10.680355072021484
80,10.679950714111328,0.0004702784644905478,10.67948055267334
81,10.679107666015625,0.00048101722495630383,10.678627014160156
82,10.678282737731934,0.0004919694038107991,10.677790641784668
83,10.677475929260254,0.0005031364853493869,10.676972389221191
84,10.676687240600586,0.0005145201575942338,10.676172256469727
85,10.675914764404297,0.000526122166775167,10.67538833618164
86,10.67516040802002,0.0005379437934607267,10.674622535705566
87,10.674422264099121,0.0005499867838807404,10.673871994018555
88,10.673701286315918,0.0005622525350190699,10.673138618469238
89,10.672995567321777,0.0005747423856519163,10.672420501708984
90,10.672306060791016,0.000587457965593785,10.67171859741211
91,10.671631813049316,0.0006004004972055554,10.67103099822998
92,10.670971870422363,0.0006135714356787503,10.670358657836914
93,10.670329093933105,0.0006269719451665878,10.669702529907227
94,10.669698715209961,0.0006406035390682518,10.669057846069336
95,10.669082641601562,0.000654467148706317,10.668428421020508
96,10.66848087310791,0.0006685642874799669,10.66781234741211
97,10.667892456054688,0.0006828958867117763,10.66720962524414
98,10.667317390441895,0.0006974631687626243,10.666620254516602
99,10.666754722595215,0.0007122671813704073,10.66604232788086
100,10.666206359863281,0.0007273091468960047,10.665478706359863
101,10.665668487548828,0.0007425897638313472,10.664925575256348
102,10.665143013000488,0.0007581101381219923,10.664384841918945
103,10.664628982543945,0.0007738713175058365,10.66385555267334
104,10.664127349853516,0.0007898738258518279,10.663337707519531
105,10.663636207580566,0.0008061188273131847,10.662830352783203
106,10.663156509399414,0.0008226069039665163,10.662333488464355
107,10.66268539428711,0.0008393388707190752,10.661846160888672
108,10.662227630615234,0.0008563152514398098,10.661371231079102
109,10.66177749633789,0.0008735368610359728,10.660903930664062
110,10.661337852478027,0.0008910042815841734,10.660447120666504
111,10.660909652709961,0.0009087177459150553,10.660000801086426
112,10.660489082336426,0.0009266779525205493,10.659562110900879
113,10.660078048706055,0.0009448851924389601,10.659132957458496
114,10.659673690795898,0.0009633398149162531,10.658710479736328
115,10.659280776977539,0.000982042052783072,10.65829849243164
116,10.658897399902344,0.001000992371700704,10.657896041870117
117,10.658517837524414,0.0010201905388385057,10.65749740600586
118,10.658148765563965,0.001039637136273086,10.657109260559082
119,10.657787322998047,0.0010593318147584796,10.65672779083252
120,10.657434463500977,0.00107927480712533,10.656354904174805
