iter,t,mse_Ez,mse_Hx,mse_Hy,relL2_Ez,relL2_Hx,relL2_Hy,rmse_Ez,rmse_Hx,rmse_Hy,mse_total,relL2_total,rmse_total
1000,0.0,0.49918970465660095,0.24929505586624146,0.24999038875102997,0.9992241263389587,0.998623788356781,1.0000154972076416,0.7065336108207703,0.49929454922676086,0.4999903738498688,0.33282503485679626,0.9992720484733582,0.5769098997116089
1000,0.25,0.4999745190143585,0.25008705258369446,0.24994786083698273,0.9999651908874512,1.0001647472381592,0.9998863935470581,0.7070887684822083,0.5000870227813721,0.49994784593582153,0.3333364725112915,0.9999954700469971,0.5773530006408691
1000,0.5,0.5007641315460205,0.250659704208374,0.25007137656211853,1.0007339715957642,1.0012887716293335,1.0001128911972046,0.707646906375885,0.5006592869758606,0.5000713467597961,0.3338317275047302,1.0007175207138062,0.5777817368507385
1000,0.75,0.49928465485572815,0.2493581920862198,0.2500047981739044,0.9993094205856323,0.9987406730651855,1.0000346899032593,0.7066007852554321,0.49935778975486755,0.500004768371582,0.33288252353668213,0.9993486404418945,0.5769597291946411
1000,1.0,0.5001017451286316,0.24994339048862457,0.2499585747718811,1.0001181364059448,0.99990314245224,0.9999335408210754,0.7071787118911743,0.4999433755874634,0.4999585747718811,0.3333345651626587,1.0000182390213013,0.5773513317108154
2000,0.0,0.3959871530532837,0.18062685430049896,0.2146831601858139,0.8899602890014648,0.8500339388847351,0.9267104864120483,0.6292750835418701,0.42500218749046326,0.4633391499519348,0.26376572251319885,0.8895798325538635,0.5135812759399414
2000,0.25,0.4851864278316498,0.23811639845371246,0.25200802087783813,0.9850658178329468,0.9759343862533569,1.0039987564086914,0.6965532302856445,0.4879717230796814,0.5020040273666382,0.32510361075401306,0.9875690937042236,0.5701785683631897
2000,0.5,0.5320659279823303,0.2713666260242462,0.267823189496994,1.0315368175506592,1.0418262481689453,1.0350018739700317,0.7294284701347351,0.5209286212921143,0.5175163745880127,0.3570852279663086,1.0349838733673096,0.5975660681724548
2000,0.75,0.5264370441436768,0.2704087793827057,0.25503507256507874,1.0261222124099731,1.0400429964065552,1.0100452899932861,0.7255598306655884,0.5200084447860718,0.5050099492073059,0.35062697529792786,1.025638222694397,0.5921376347541809
2000,1.0,0.505312979221344,0.2552858591079712,0.245696559548378,1.0053154230117798,1.0105329751968384,0.9913720488548279,0.7108536958694458,0.5052582025527954,0.4956778883934021,0.3354317545890808,1.0031591653823853,0.5791646838188171
3000,0.0,0.0413692332804203,0.01988147385418415,0.021188126876950264,0.2876529395580292,0.2820131778717041,0.29113295674324036,0.20339427888393402,0.14100168645381927,0.14556142687797546,0.027479609474539757,0.2871316075325012,0.16576974093914032
3000,0.25,0.08170362561941147,0.04143397510051727,0.04245094582438469,0.40423282980918884,0.4071029722690582,0.4120686948299408,0.28583845496177673,0.20355337858200073,0.2060362696647644,0.05519618093967438,0.40692195296287537,0.23493868112564087
3000,0.5,0.1678423136472702,0.0861111655831337,0.08677452802658081,0.5793657302856445,0.586876630783081,0.5891327261924744,0.4096856415271759,0.2934470474720001,0.29457515478134155,0.1135760024189949,0.5837017297744751,0.33701038360595703
3000,0.75,0.28068864345550537,0.1389283835887909,0.13963854312896729,0.749269962310791,0.7454807162284851,0.7473835945129395,0.5298005938529968,0.37273097038269043,0.3736824095249176,0.18641851842403412,0.7478526830673218,0.43176209926605225
3000,1.0,0.4208059012889862,0.20800773799419403,0.21080683171749115,0.9174090027809143,0.912172257900238,0.9182891845703125,0.6486955285072327,0.4560786485671997,0.45913705229759216,0.27987349033355713,0.9163230657577515,0.5290306806564331
4000,0.0,0.00715577183291316,0.0033032922074198723,0.003656100481748581,0.11963502317667007,0.11495254188776016,0.1209355965256691,0.08459179848432541,0.057474274188280106,0.060465697199106216,0.004705054685473442,0.11881138384342194,0.06859339773654938
4000,0.25,0.011195757426321507,0.006064943503588438,0.006230256520211697,0.14963655173778534,0.15575404465198517,0.15786246955394745,0.1058100089430809,0.07787774503231049,0.07893197238445282,0.007830318994820118,0.15326617658138275,0.0884890928864479
4000,0.5,0.025379102677106857,0.014098824933171272,0.014040758833289146,0.22528909146785736,0.2374698668718338,0.2369803488254547,0.15930819511413574,0.11873847246170044,0.1184937059879303,0.01783956214785576,0.23133417963981628,0.13356482982635498
4000,0.75,0.05005820468068123,0.02620299719274044,0.02602885290980339,0.31641969084739685,0.3237549364566803,0.3226773142814636,0.22373691201210022,0.16187340021133423,0.16133460402488708,0.03409668430685997,0.31983619928359985,0.1846528798341751
4000,1.0,0.0968407392501831,0.048565082252025604,0.04971051588654518,0.4400998055934906,0.4407569468021393,0.44592440128326416,0.31119245290756226,0.22037486732006073,0.2229585498571396,0.0650387778878212,0.44172701239585876,0.25502702593803406
5000,0.0,0.0015082444297149777,0.0007420791662298143,0.0007801342871971428,0.05492447689175606,0.05448415130376816,0.05586370825767517,0.038836121559143066,0.02724112942814827,0.027930883690714836,0.0010101525112986565,0.05505150556564331,0.03178289532661438
5000,0.25,0.0008847158751450479,0.00047820937470532954,0.00047364612692035735,0.04206422343850136,0.04373558983206749,0.04352641850709915,0.02974417433142662,0.02186799794435501,0.021763412281870842,0.0006121904007159173,0.04285483807325363,0.024742482230067253
5000,0.5,0.0018373409984633327,0.0009911393281072378,0.000999016803689301,0.060617346316576004,0.0629628524184227,0.0632125660777092,0.04286421462893486,0.03148236498236656,0.03160722553730011,0.0012758324155583978,0.06186492368578911,0.03571879491209984
5000,0.75,0.0037099344190210104,0.001986718736588955,0.0019450618419796228,0.08614081889390945,0.08914748579263687,0.08820793032646179,0.06090923026204109,0.0445726215839386,0.044102855026721954,0.002547238254919648,0.08741910010576248,0.050470173358917236
5000,1.0,0.006605800706893206,0.003411763347685337,0.0032779648900032043,0.11494360864162445,0.11682251840829849,0.11450890451669693,0.081276074051857,0.05841030180454254,0.05725351348519325,0.004431843291968107,0.11530814319849014,0.06657209247350693
6000,0.0,0.0004966313717886806,0.0002516545937396586,0.00025662232656031847,0.03151716664433479,0.0317283533513546,0.032039985060691833,0.022285226732492447,0.015863625332713127,0.016019435599446297,0.00033496940159238875,0.03170138970017433,0.01830216869711876
6000,0.25,0.0003422209993004799,0.00018604543583933264,0.0001758748694555834,0.026161598041653633,0.0272794421762228,0.026523318141698837,0.018499216064810753,0.013639847747981548,0.013261782005429268,0.00023471377789974213,0.026535414159297943,0.0153203709051013
6000,0.5,0.0006983692292124033,0.0003663688257802278,0.0003661176306195557,0.03737185150384903,0.038280386477708817,0.038267262279987335,0.02642667666077614,0.019140763208270073,0.019134201109409332,0.000476951856398955,0.03782552480697632,0.02183922752737999
6000,0.75,0.0013551611918956041,0.0007196498336270452,0.0007012212299741805,0.05206206068396568,0.05365392938256264,0.052962496876716614,0.03681251406669617,0.026826290413737297,0.026480581611394882,0.0009253440075553954,0.052689384669065475,0.030419467017054558
6000,1.0,0.002969947410747409,0.0015490427613258362,0.0014479290693998337,0.07707197219133377,0.07871705293655396,0.07610457390546799,0.05449722334742546,0.039357881993055344,0.03805166482925415,0.0019889730028808117,0.07724710553884506,0.04459790512919426
7000,0.0,0.00019249717297498137,0.00010138386278413236,9.772364137461409e-05,0.0196219552308321,0.020138612017035484,0.019771741703152657,0.013874335214495659,0.010068955831229687,0.009885527193546295,0.00013053488510195166,0.019789693877100945,0.01142518687993288
7000,0.25,0.00014575848763342947,7.976147026056424e-05,7.459524931618944e-05,0.01707370951771736,0.017861690372228622,0.017273548990488052,0.012073048390448093,0.008930928073823452,0.008636854588985443,0.00010003840725403279,0.017323672771453857,0.01000192016363144
7000,0.5,0.00026968741440214217,0.00013961053628008813,0.00014215089322533458,0.0232237521559,0.023630676791071892,0.023844698444008827,0.01642216183245182,0.01181569043546915,0.011922704987227917,0.00018381628615316004,0.023482248187065125,0.013557886704802513
7000,0.75,0.00048053814680315554,0.0002540089772082865,0.0002479189424775541,0.03100200742483139,0.03187612071633339,0.03149167820811272,0.021921180188655853,0.01593765988945961,0.015745442360639572,0.00032748866942711174,0.031345099210739136,0.018096648156642914
7000,1.0,0.001434069825336337,0.0007507035625167191,0.0006940647144801915,0.053555890917778015,0.05479883775115013,0.052691079676151276,0.03786911442875862,0.0273989699780941,0.026345107704401016,0.000959612603764981,0.05365568399429321,0.030977614223957062
8000,0.0,8.25923343654722e-05,4.548922152025625e-05,4.128711225348525e-05,0.01285286620259285,0.013489607721567154,0.012851457111537457,0.009088032878935337,0.006744569633156061,0.0064255050383508205,5.645622150041163e-05,0.013014624826610088,0.007513735443353653
8000,0.25,6.780851981602609e-05,3.719939195434563e-05,3.483469117782079e-05,0.011645364575088024,0.012198147363960743,0.011804074048995972,0.008234593085944653,0.006099130492657423,0.005902091972529888,4.661419734475203e-05,0.011825396679341793,0.006827459204941988
8000,0.5,0.00011317930329823866,5.792734009446576e-05,6.046776979928836e-05,0.015044770203530788,0.015221549198031425,0.015551741234958172,0.010638576000928879,0.007611001376062632,0.007776102516800165,7.71914710639976e-05,0.015217116102576256,0.008785868063569069
8000,0.75,0.00019381109450478107,0.00010052740253740922,0.00010107287380378693,0.019688615575432777,0.02005317620933056,0.020107507705688477,0.013921605423092842,0.010026335716247559,0.010053500533103943,0.00013180379755795002,0.019885454326868057,0.011480583809316158
8000,1.0,0.0008127688197419047,0.00042381955427117646,0.00039411746547557414,0.04031861573457718,0.04117443040013313,0.039705436676740646,0.028509100899100304,0.020586878061294556,0.019852392375469208,0.0005435686325654387,0.040382660925388336,0.02331455796957016
9000,0.0,4.570918099489063e-05,2.549876990087796e-05,2.2892396373208612e-05,0.009561627171933651,0.010099612176418304,0.009569532237946987,0.006760856602340937,0.005049630533903837,0.004784599877893925,3.1366780604003e-05,0.009700870141386986,0.00560060515999794
9000,0.25,4.714005990535952e-05,2.4987391952890903e-05,2.4493210730724968e-05,0.009709704667329788,0.009997384622693062,0.009898031130433083,0.00686586182564497,0.004998738877475262,0.004949061665683985,3.220688449800946e-05,0.009829489514231682,0.005675110965967178
9000,0.5,6.886700430186465e-05,3.5012970329262316e-05,3.638056659838185e-05,0.011735663749277592,0.011833998374640942,0.012062901630997658,0.008298614993691444,0.0059171756729483604,0.00603163056075573,4.6753513743169606e-05,0.011842810548841953,0.006837653927505016
9000,0.75,0.0001151976321125403,5.858560689375736e-05,6.026999108144082e-05,0.015179157257080078,0.015308631584048271,0.015527140349149704,0.010733015835285187,0.0076541234739124775,0.00776337506249547,7.80177433625795e-05,0.015299183316528797,0.008832765743136406
9000,1.0,0.0005386885022744536,0.00027711689472198486,0.0002657066215761006,0.03282395750284195,0.0332942008972168,0.032601553946733475,0.02320966310799122,0.01664682850241661,0.016300510615110397,0.00036050399648956954,0.03288688883185387,0.018986942246556282
10000,0.0,3.270520028308965e-05,1.803425584512297e-05,1.6444484572275542e-05,0.008087950758635998,0.00849364697933197,0.008110642433166504,0.005718845874071121,0.0042466758750379086,0.004055180121213198,2.239464629383292e-05,0.008196866139769554,0.004732298199087381
10000,0.25,4.23424608015921e-05,2.1756051864940673e-05,2.1984800696372986e-05,0.009202355518937111,0.009328589774668217,0.009377502836287022,0.006507108453661203,0.004664338193833828,0.004688795190304518,2.8694437787635252e-05,0.009278022684156895,0.00535671878606081
10000,0.5,6.039976142346859e-05,3.0513589081238024e-05,3.154515434289351e-05,0.010990556329488754,0.011047491803765297,0.011232680641114712,0.007771728560328484,0.005523910745978355,0.005616507492959499,4.08194973715581e-05,0.011065767146646976,0.006389013957232237
10000,0.75,9.807244350668043e-05,4.932788579026237e-05,5.090557533549145e-05,0.014005525037646294,0.014047116041183472,0.014269987121224403,0.009903153404593468,0.007023381534963846,0.007134814281016588,6.610197306144983e-05,0.014082467183470726,0.008130311965942383
10000,1.0,0.0004010088450741023,0.000204510593903251,0.00020065854187123477,0.028320379555225372,0.028601909056305885,0.02833126299083233,0.020025204867124557,0.01430071983486414,0.014165399596095085,0.00026872596936300397,0.028393739834427834,0.016392864286899567
11000,0.0,2.5402190658496693e-05,1.3881593076803256e-05,1.2793413588951807e-05,0.007127966731786728,0.007451860699802637,0.007153824903070927,0.005040058400481939,0.003725800896063447,0.003576788119971752,1.7359065168420784e-05,0.007216704078018665,0.004166421014815569
11000,0.25,3.812255090451799e-05,1.9499379050103016e-05,1.9662538761622272e-05,0.008731761947274208,0.008831538259983063,0.00886840932071209,0.006174345966428518,0.0044158101081848145,0.004434246104210615,2.576148835942149e-05,0.008791076950728893,0.005075577646493912
11000,0.5,5.7593020756030455e-05,2.916144694609102e-05,2.9756307412753813e-05,0.010732156224548817,0.010799945332109928,0.010909543372690678,0.007589006796479225,0.0054001337848603725,0.005454934202134609,3.883692261297256e-05,0.010793693363666534,0.006231927778571844
11000,0.75,9.307553409598768e-05,4.664726657210849e-05,4.789172817254439e-05,0.013644060119986534,0.01366010494530201,0.013841118663549423,0.009647565893828869,0.006829880643635988,0.0069203851744532585,6.253817264223471e-05,0.013697587884962559,0.007908107712864876
11000,1.0,0.0003170918789692223,0.00016076822066679597,0.0001597558002686128,0.02518341690301895,0.025359297171235085,0.025279322639107704,0.017807073891162872,0.012679440900683403,0.012639454565942287,0.00021253862360026687,0.025251472368836403,0.014578704722225666
12000,0.0,2.0627576304832473e-05,1.116766725317575e-05,1.0388869668531697e-05,0.00642324099317193,0.006683844141662121,0.006446578074246645,0.004541759379208088,0.003341805888339877,0.003223177045583725,1.4061371985008009e-05,0.006495155859738588,0.003749849507585168
12000,0.25,3.3908112527569756e-05,1.720346881484147e-05,1.7454780390835367e-05,0.008234984241425991,0.008295335806906223,0.008355705998837948,0.005823067389428616,0.004147706553339958,0.0041778916493058205,2.2855452698422596e-05,0.008280403912067413,0.004780737683176994
12000,0.5,5.439866072265431e-05,2.7465688617667183e-05,2.7949783543590456e-05,0.010430284775793552,0.010481231845915318,0.010573196224868298,0.007375544868409634,0.005240771919488907,0.005286755505949259,3.660470974864438e-05,0.010478910990059376,0.00605018250644207
12000,0.75,8.701072511030361e-05,4.3573498260229826e-05,4.453021028894e-05,0.013192049227654934,0.01320237759500742,0.013346527703106403,0.009327953681349754,0.006601022556424141,0.006673096213489771,5.8371468185214326e-05,0.013233412057161331,0.007640122435986996
12000,1.0,0.00025443133199587464,0.00012849902850575745,0.00012870755745097995,0.02255835384130478,0.022671854123473167,0.022690244019031525,0.015950903296470642,0.01133574079722166,0.01134493574500084,0.00017054597265087068,0.022619787603616714,0.013059325516223907
13000,0.0,1.690990393399261e-05,9.000013051263522e-06,8.605254151916597e-06,0.005815682001411915,0.006000212859362364,0.005867146886885166,0.004112165421247482,0.003000002121552825,0.0029334714636206627,1.1505057045724243e-05,0.005875166039913893,0.0033919105771929026
13000,0.25,2.949660483864136e-05,1.4919934983481653e-05,1.5146121768339071e-05,0.007680632174015045,0.007725194562226534,0.007783531676977873,0.005431077908724546,0.0038626331370323896,0.0038918019272387028,1.9854220226989128e-05,0.007717613596469164,0.004455807618796825
13000,0.5,4.906435788143426e-05,2.4784905690466985e-05,2.5041395929292776e-05,0.009905698709189892,0.009956590831279755,0.010007977485656738,0.00700459536164999,0.0049784439615905285,0.005004137754440308,3.296355498605408e-05,0.00994408130645752,0.0057413894683122635
