iter,mse,mse_f,mse_b
1,11.042438507080078,0.026024773716926575,11.016413688659668
2,11.034016609191895,0.02595929242670536,11.008057594299316
3,11.025716781616211,0.02590162307024002,10.999814987182617
4,11.017538070678711,0.02585345320403576,10.991684913635254
5,11.009482383728027,0.02581545151770115,10.983667373657227
6,11.001550674438477,0.02578778564929962,10.975763320922852
7,10.993743896484375,0.025769483298063278,10.967974662780762
8,10.98606014251709,0.02575913444161415,10.960301399230957
9,10.978499412536621,0.02575574442744255,10.952743530273438
10,10.971063613891602,0.02575863152742386,10.945304870605469
11,10.96374797821045,0.025767259299755096,10.937980651855469
12,10.956558227539062,0.025781188160181046,10.930776596069336
13,10.949488639831543,0.025800038129091263,10.923688888549805
14,10.942540168762207,0.025823522359132767,10.916716575622559
15,10.935711860656738,0.025851387530565262,10.909860610961914
16,10.929003715515137,0.02588340826332569,10.903120040893555
17,10.922412872314453,0.025919370353221893,10.896493911743164
18,10.915938377380371,0.025959081947803497,10.889979362487793
19,10.909578323364258,0.026002349331974983,10.883576393127441
20,10.903331756591797,0.026048991829156876,10.877283096313477
21,10.897198677062988,0.026098839938640594,10.871099472045898
22,10.891173362731934,0.026151731610298157,10.865021705627441
23,10.885258674621582,0.026207493618130684,10.859050750732422
24,10.879448890686035,0.026265976950526237,10.853182792663574
25,10.873745918273926,0.026327017694711685,10.847418785095215
26,10.868143081665039,0.02639041654765606,10.841753005981445
27,10.862643241882324,0.02645600400865078,10.836187362670898
28,10.857242584228516,0.026523586362600327,10.830718994140625
29,10.851938247680664,0.02659294381737709,10.825345039367676
30,10.846728324890137,0.026663877069950104,10.820064544677734
31,10.841612815856934,0.026736171916127205,10.814876556396484
32,10.836587905883789,0.026809602975845337,10.809778213500977
33,10.831653594970703,0.026883967220783234,10.804769515991211
34,10.82680606842041,0.026959050446748734,10.799846649169922
35,10.822043418884277,0.027034658938646317,10.795008659362793
36,10.817365646362305,0.027110593393445015,10.790254592895508
37,10.81276798248291,0.02718668058514595,10.785581588745117
38,10.808253288269043,0.0272627342492342,10.780990600585938
39,10.803815841674805,0.027338605374097824,10.776476860046387
40,10.799455642700195,0.027414141222834587,10.772041320800781
41,10.795170783996582,0.027489203959703445,10.767681121826172
42,10.790959358215332,0.027563657611608505,10.763395309448242
43,10.786820411682129,0.027637382969260216,10.759182929992676
44,10.78274917602539,0.027710260823369026,10.75503921508789
45,10.7787504196167,0.02778218872845173,10.750967979431152
46,10.774818420410156,0.027853067964315414,10.746965408325195
47,10.770952224731445,0.027922796085476875,10.743029594421387
48,10.767151832580566,0.027991294860839844,10.739160537719727
49,10.763413429260254,0.028058473020792007,10.735355377197266
50,10.759737014770508,0.028124261647462845,10.731613159179688
51,10.756124496459961,0.028188597410917282,10.727935791015625
52,10.752570152282715,0.02825140953063965,10.724318504333496
53,10.749074935913086,0.028312645852565765,10.720762252807617
54,10.745634078979492,0.028372246772050858,10.717262268066406
55,10.742252349853516,0.02843017503619194,10.713822364807129
56,10.73892593383789,0.028486397117376328,10.710439682006836
57,10.735651969909668,0.028540881350636482,10.707111358642578
58,10.732433319091797,0.028593601658940315,10.703839302062988
59,10.729267120361328,0.028644535690546036,10.70062255859375
60,10.726149559020996,0.028693679720163345,10.697455406188965
61,10.72308349609375,0.028741031885147095,10.694342613220215
62,10.720067024230957,0.028786586597561836,10.691280364990234
63,10.717098236083984,0.028830353170633316,10.688267707824707
64,10.714179039001465,0.028872348368167877,10.685306549072266
65,10.7113037109375,0.02891259267926216,10.682391166687012
66,10.708477020263672,0.028951121494174004,10.679526329040527
67,10.705694198608398,0.02898797020316124,10.676706314086914
68,10.702956199645996,0.029023166745901108,10.673933029174805
